subject_id,example_id,start_ms,phoneme,total_duration_s,mean_rms,f0_mean_voiced_hz,voiced_ratio,voicing_decision,total_sound_frames,unvoiced_frames_count,full_filename
3,10,18,ざ,0.29600907029478457,0.03359302878379822,65.40639132514966,0.10526315789473684,Unvoiced,19,17,S03_010_18_ざ.wav
4,1,1,ざ,0.278,0.01495238859206438,78.28579242986154,1.0,Voiced,10,0,S04_001_01_ざ.wav
4,1,17,ざ,0.329,0.054458148777484894,88.66084498169784,0.7741935483870968,Voiced,31,7,S04_001_17_ざ.wav
4,2,11,ざ,0.322,0.026995817199349403,78.13948772704276,0.2903225806451613,Unvoiced,31,22,S04_002_11_ざ.wav
4,2,13,ざ,0.322,0.04910792410373688,114.11359771913907,0.6129032258064516,Voiced,31,12,S04_002_13_ざ.wav
4,2,18,ざ,0.322,0.06166587397456169,91.99064281776181,0.3870967741935484,Unvoiced,31,19,S04_002_18_ざ.wav
4,3,3,ざ,0.279,0.024252962321043015,79.83106135619022,1.0,Voiced,22,0,S04_003_03_ざ.wav
4,3,6,ざ,0.279,0.05019572004675865,127.150644009087,0.9259259259259259,Voiced,27,2,S04_003_06_ざ.wav
4,3,16,ざ,0.278,0.046561527997255325,82.58824066985659,1.0,Voiced,27,0,S04_003_16_ざ.wav
4,5,14,ざ,0.285,0.02757471799850464,80.57809869708122,0.8518518518518519,Voiced,27,4,S04_005_14_ざ.wav
4,7,4,ざ,0.319,0.01808915287256241,80.83756857759491,1.0,Voiced,30,0,S04_007_04_ざ.wav
4,7,20,ざ,0.319,0.05650203302502632,104.14124130326879,0.9,Voiced,30,3,S04_007_20_ざ.wav
4,8,19,ざ,0.321,0.02822820097208023,81.1298840092241,0.7419354838709677,Voiced,31,8,S04_008_19_ざ.wav
4,9,13,ざ,0.309,0.048680927604436874,93.11384422941441,0.896551724137931,Voiced,29,3,S04_009_13_ざ.wav
4,10,18,ざ,0.302,0.028655508533120155,80.78289481265736,1.0,Voiced,29,0,S04_010_18_ざ.wav
1,4,1,ぜ,0.257,0.0,0.0,0.0,Unvoiced,0,0,S01_004_01_ぜ.wav
1,6,16,ぜ,0.287,0.031073177233338356,123.18164711100239,0.6956521739130435,Voiced,23,7,S01_006_16_ぜ.wav
1,6,18,ぜ,0.287,0.08359798789024353,160.25653417648334,0.8518518518518519,Voiced,27,4,S01_006_18_ぜ.wav
1,8,10,ぜ,0.343,0.046298619359731674,161.42587413555336,1.0,Voiced,22,0,S01_008_10_ぜ.wav
